# Created At: Mon Aug 05 2024 18:30:13 GMT+0200 (centraleuropeisk sommartid)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?tissues=UBERON%3A0002369&genes=AIF1%2CCST3%2CHLA-DRA%2CHLA-DPA1%2CLYZ%2CHLA-DQB1%2CLST1%2CSAT1%2CHLA-DPB1%2CPSAP%2CCD74%2CTYROBP%2CHLA-DRB1%2CCPVL%2CHLA-DQA1%2CCTSS%2CMS4A6A%2CCALHM6%2CFGL2%2CCSTA%2CGPR183%2CSPI1%2CJAML%2CHLA-DMB%2CRNASE6%2CC1QB%2CNPC2%2CC1QA%2CCD163%2CC1QC%2CMS4A7%2CCTSB%2CGRN%2CC5AR1%2CVSIG4%2CCD14%2CMS4A4A%2CFCER1G%2CPLAUR%2CMAFB%2CLAPTM5%2CLIPA%2CFCGR3A%2CAPOC1%2CCSF1R%2CMPO%2CRETN%2CMS4A3%2CS100A9%2CPRTN3%2CS100A8%2CAZU1%2CPLAC8%2CDEFA4%2CS100P%2CMNDA%2CNUCB2%2CCTSG%2CSRGN%2CDEFA3%2CTREM2%2CCD3E%2CCD3D%2CZFP36L2%2CBTG1%2CCXCR4%2CHLA-B%2CGZMA%2CCD2%2CPTPRC%2CCCL5%2CCST7%2CHLA-C%2CDUSP2%2CCD7%2CIL2RG%2CCYTIP%2CNKG7%2CGZMH%2CHLA-A%2CTNFAIP3%2CLCK%2CCD8A%2CIL32%2CCD3G%2CTRBC2%2CFLT1%2CLDB2%2CEMCN%2CPLVAP%2CCALCRL%2CPTPRB%2CEPAS1%2CKDR%2CST6GALNAC3%2CTGFBR2%2CHSPG2%2CRAMP2%2CEFNB2%2CPRCP%2CCDH5%2CCHRM3%2CA2M%2CEGFL7%2CKIAA1217%2CBTNL9%2CARHGAP29%2CENG%2CPTPRG%2CRASAL2%2CSEC14L1%2CCOL3A1%2CCOL1A2%2CCOL1A1%2CDCN%2CLUM%2CGPC3%2CPOSTN%2CFSTL1%2CMEST%2CSPARC%2CISLR%2COGN%2CCXCL12%2CCOL5A2%2CCOL5A1%2CPCOLCE%2CPLAC9%2CMGP%2CFBN1%2COLFML3%2CSERPINH1%2CCOL12A1%2CCRABP2%2CSULT1E1%2CPRSS35%2CNRXN1%2CNKAIN3%2CNRXN3%2CDST%2CPTPRZ1%2COLFML2A%2CSLC35F1%2CGAS7%2CPLP1%2CLRRTM4%2CQKI%2CPCDH9%2CCDH19%2CSOX5%2CNLGN4X%2CMPZ%2CIL1RAPL1%2CSORCS1%2CNLGN1%2CZNF536%2CTIMP3%2CPARD3B%2CVCAN%2CNAALADL2%2CRBFOX1%2CRGS5_ENSG00000143248%2CSTMN2%2CCACNA2D3%2CCNTN1%2CKCNQ5%2CCNTNAP2%2CDPP6%2CMAP1B%2CCADM2%2CSYT1%2CDLC1%2CCADM1%2CALCAM%2CRBMS3%2CLINGO2%2CUNC5C%2CCHGB%2CBMPR1B%2CTENM3%2CEML5%2CSEMA6D%2CPLXNA4%2CSORBS2%2CCTNNA2%2CFAM155A%2CCHGA%2CCCSER1%2CFGF14%2CAGBL4%2CROBO1%2CMEG3%2CROBO2%2CLSAMP%2CSLC24A2%2CDGKB%2CRALYL%2CMGAT4C%2CCACNB2%2CMAGI2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: No selection
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adrenal gland,aggregated,139187,6.51%,MAFB,2.3606433245531773,0.20112982158364504,9064
adrenal gland,aggregated,139187,9.65%,LAPTM5,2.3714652612273777,0.20343370237531916,13427
adrenal gland,aggregated,139187,7.97%,LIPA,2.2724505560247747,0.18235447374211267,11100
adrenal gland,aggregated,139187,2.90%,FCGR3A,2.4783718990027253,0.22619304358087877,4036
adrenal gland,aggregated,139187,26.70%,APOC1,2.6572992771319393,0.26428487150288665,37161
adrenal gland,aggregated,139187,1.24%,CSF1R,2.3455350654069766,0.19791342611853865,1720
adrenal gland,aggregated,139187,0.12%,MPO,2.89780500458508,0.31548610677604005,164
adrenal gland,aggregated,139187,0.32%,RETN,2.3973310178769403,0.20894026018480175,451
adrenal gland,aggregated,139187,0.05%,MS4A3,2.648241126019022,0.26235648280635293,69
adrenal gland,aggregated,139187,1.57%,S100A9,2.9587532253440365,0.3284613661330857,2180
adrenal gland,aggregated,139187,0.06%,PRTN3,3.0037244160970054,0.3380352775016008,84
adrenal gland,aggregated,139187,1.46%,S100A8,3.0048266109198227,0.3382699236243253,2033
adrenal gland,aggregated,139187,0.07%,AZU1,2.611150207519531,0.2544602016462305,100
adrenal gland,aggregated,139187,3.06%,PLAC8,2.1168290759117028,0.1492242356342563,4264
adrenal gland,aggregated,139187,0.07%,DEFA4,3.0971755194909796,0.35793007161764906,97
adrenal gland,aggregated,139187,0.22%,S100P,2.4068777622320714,0.21097266543766607,312
adrenal gland,aggregated,139187,0.84%,MNDA,2.1819062033780905,0.16307849744162517,1173
adrenal gland,aggregated,139187,9.78%,NUCB2,2.1147155985947834,0.14877429770348854,13610
adrenal gland,aggregated,139187,0.04%,CTSG,2.9159959272904827,0.31935877011399133,55
adrenal gland,aggregated,139187,11.05%,SRGN,3.093805894308943,0.3572127125195735,15375
adrenal gland,aggregated,139187,0.20%,DEFA3,2.845157803622159,0.3042780505209111,275
adrenal gland,aggregated,139187,0.86%,TREM2,2.4570988960170026,0.22166423654425343,1191
adrenal gland,aggregated,139187,6.50%,CD3E,2.4955967282458564,0.22986003539831598,9050
adrenal gland,aggregated,139187,5.88%,CD3D,2.324162448851838,0.1933634123611501,8187
adrenal gland,aggregated,139187,20.11%,ZFP36L2,2.7833066702093454,0.29111057019802494,27992
adrenal gland,aggregated,139187,28.47%,BTG1,2.7196129949651726,0.2775508313671727,39624
adrenal gland,aggregated,139187,12.56%,CXCR4,2.8614387678101396,0.30774410302074195,17476
adrenal gland,aggregated,139187,13.00%,HLA-B,3.707866129165976,0.4879399217621415,18093
adrenal gland,aggregated,139187,5.80%,GZMA,2.6648391077618223,0.26589002513514515,8078
adrenal gland,aggregated,139187,5.67%,CD2,2.2016395455697806,0.16727952627774395,7889
adrenal gland,aggregated,139187,7.78%,PTPRC,2.388843021410434,0.2071332516420885,10830
adrenal gland,aggregated,139187,6.99%,CCL5,3.6157291773679887,0.4683248972206612,9734
adrenal gland,aggregated,139187,6.14%,CST7,2.6293387293104455,0.2583323538537862,8549
adrenal gland,aggregated,139187,13.81%,HLA-C,3.164559648004579,0.372275470599357,19219
adrenal gland,aggregated,139187,7.11%,DUSP2,2.768602873799292,0.28798028075597254,9890
adrenal gland,aggregated,139187,5.43%,CD7,2.330675925466455,0.19475006561104471,7557
adrenal gland,aggregated,139187,6.31%,IL2RG,2.107009261765041,0.1471336965864499,8776
adrenal gland,aggregated,139187,6.55%,CYTIP,2.189134098881824,0.1646172432425481,9122
adrenal gland,aggregated,139187,6.03%,NKG7,3.3741537312209373,0.4168959296639443,8387
adrenal gland,aggregated,139187,5.01%,GZMH,2.6156051576625052,0.25540861544417226,6969
adrenal gland,aggregated,139187,14.69%,HLA-A,3.1838394909989236,0.37637995404611907,20442
adrenal gland,aggregated,139187,9.36%,TNFAIP3,2.5253147318000306,0.23618669758611002,13022
adrenal gland,aggregated,139187,4.84%,LCK,1.8673109650912598,0.09610435515440612,6739
adrenal gland,aggregated,139187,4.64%,CD8A,2.6246061686928917,0.25732483959543645,6457
adrenal gland,aggregated,139187,8.12%,IL32,2.939298098619591,0.3243195665541903,11301
adrenal gland,aggregated,139187,4.27%,CD3G,1.9041819273373128,0.10395380985429693,5947
adrenal gland,aggregated,139187,5.02%,TRBC2,2.1944731289381356,0.16575386870647557,6983
adrenal gland,aggregated,139187,3.27%,FLT1,2.7955265158274765,0.2937120516559559,4553
adrenal gland,aggregated,139187,6.95%,LDB2,2.8146758604089124,0.2977887533113533,9672
adrenal gland,aggregated,139187,4.63%,EMCN,2.644792959057072,0.2616224029582366,6448
adrenal gland,aggregated,139187,2.73%,PLVAP,2.605090858307045,0.2531702275241334,3804
adrenal gland,aggregated,139187,3.05%,CALCRL,2.596583892025406,0.25135918049976735,4251
adrenal gland,aggregated,139187,2.15%,PTPRB,2.592967805044628,0.25058935217912137,2997
adrenal gland,aggregated,139187,5.81%,EPAS1,2.372365142059515,0.203625277897,8082
adrenal gland,aggregated,139187,2.35%,KDR,2.5709160844180703,0.2458947640379794,3265
adrenal gland,aggregated,139187,2.82%,ST6GALNAC3,2.6777984852099235,0.26864894543504986,3930
adrenal gland,aggregated,139187,8.48%,TGFBR2,2.218237884004237,0.17081314454257973,11800
adrenal gland,aggregated,139187,19.25%,HSPG2,2.405000291511194,0.2105729709226287,26800
adrenal gland,aggregated,139187,2.43%,RAMP2,2.5893803015042876,0.24982560898365824,3382
adrenal gland,aggregated,139187,3.19%,EFNB2,2.498194658815404,0.2304131085235314,4434
adrenal gland,aggregated,139187,7.44%,PRCP,2.3068846476712728,0.18968514335434958,10349
adrenal gland,aggregated,139187,1.81%,CDH5,2.4252941331726947,0.21489332442318748,2516
adrenal gland,aggregated,139187,2.98%,CHRM3,2.694174942380694,0.2721353274244548,4149
adrenal gland,aggregated,139187,10.00%,A2M,2.502962742544017,0.23142818529270476,13915
adrenal gland,aggregated,139187,2.32%,EGFL7,2.438299995162539,0.21766214081157023,3230
adrenal gland,aggregated,139187,8.75%,KIAA1217,2.4565779863735315,0.22155334015316183,12173
adrenal gland,aggregated,139187,1.39%,BTNL9,2.562387803484029,0.24407917933983753,1941
adrenal gland,aggregated,139187,1.88%,ARHGAP29,2.468539908105843,0.2240999122261884,2610
adrenal gland,aggregated,139187,3.21%,ENG,2.3519660816337966,0.19928252438643348,4462
adrenal gland,aggregated,139187,7.61%,PTPRG,2.4464426448710683,0.2193956285246831,10587
adrenal gland,aggregated,139187,25.36%,RASAL2,2.5392024002635085,0.23914324164817452,35293
adrenal gland,aggregated,139187,12.75%,SEC14L1,2.260836587074696,0.17988197729487546,17752
adrenal gland,aggregated,139187,6.86%,COL3A1,2.838566132693918,0.3028747504930321,9553
adrenal gland,aggregated,139187,6.30%,COL1A2,2.8580133597581843,0.30701486831422586,8767
adrenal gland,aggregated,139187,6.83%,COL1A1,2.911802047152931,0.31846593547797614,9501
adrenal gland,aggregated,139187,6.16%,DCN,2.867039152738887,0.30893636829190013,8571
adrenal gland,aggregated,139187,1.36%,LUM,2.6916418920589398,0.2715960666473568,1896
adrenal gland,aggregated,139187,2.23%,GPC3,2.6044698642747908,0.25303802417960025,3106
adrenal gland,aggregated,139187,2.43%,POSTN,2.843160017566568,0.30385274208879626,3380
adrenal gland,aggregated,139187,6.95%,FSTL1,2.4210451539574294,0.21398875975117182,9678
adrenal gland,aggregated,139187,1.72%,MEST,2.2285994466145835,0.1730190163553964,2400
adrenal gland,aggregated,139187,47.67%,SPARC,3.011615129694942,0.3397151305665542,66348
adrenal gland,aggregated,139187,0.77%,ISLR,2.479541015625,0.2264419366774081,1065
adrenal gland,aggregated,139187,1.12%,OGN,2.55291012494992,0.24206147750127,1560
adrenal gland,aggregated,139187,1.36%,CXCL12,2.482379706424434,0.22704626521888896,1899
adrenal gland,aggregated,139187,2.50%,COL5A2,2.4863743611011477,0.22789668677060554,3485
adrenal gland,aggregated,139187,2.25%,COL5A1,2.4323836549021567,0.21640261184801624,3130
adrenal gland,aggregated,139187,1.25%,PCOLCE,2.333356444187428,0.1953207209178435,1736
adrenal gland,aggregated,139187,0.76%,PLAC9,2.4643492442014874,0.22320776229367,1059
adrenal gland,aggregated,139187,3.76%,MGP,2.841691689484886,0.30354014990080763,5227
adrenal gland,aggregated,139187,3.64%,FBN1,2.456982855688549,0.2216395327327424,5065
adrenal gland,aggregated,139187,1.18%,OLFML3,2.321798096444293,0.19286006566263553,1647
adrenal gland,aggregated,139187,8.13%,SERPINH1,2.3805683921861185,0.2053716668257983,11310
adrenal gland,aggregated,139187,1.41%,COL12A1,2.7820690443666924,0.29084709218184274,1956
adrenal gland,aggregated,139187,0.65%,CRABP2,2.342574887776243,0.1972832342602136,905
adrenal gland,aggregated,139187,1.87%,SULT1E1,2.495351945318505,0.22980792359047306,2602
adrenal gland,aggregated,139187,0.64%,PRSS35,2.354493833391854,0.1998206571529458,890
adrenal gland,aggregated,139187,5.32%,NRXN1,2.5046563555743244,0.2317887383662,7400
adrenal gland,aggregated,139187,38.55%,NKAIN3,2.8244067170785345,0.29986035421261553,53658
adrenal gland,aggregated,139187,2.23%,NRXN3,2.3905145704131767,0.2074891075074201,3104
adrenal gland,aggregated,139187,39.48%,DST,2.6744497370384526,0.2679360308412324,54951
adrenal gland,aggregated,139187,3.22%,PTPRZ1,2.3143780550217246,0.19128041394025616,4488
adrenal gland,aggregated,139187,0.65%,OLFML2A,2.353716034941621,0.1996550717348055,910
adrenal gland,aggregated,139187,1.03%,SLC35F1,2.419590784850733,0.21367913928768217,1432
adrenal gland,aggregated,139187,1.17%,GAS7,2.2989345991054977,0.18799265847525848,1628
adrenal gland,aggregated,139187,0.34%,PLP1,2.550585988682521,0.2415666924119746,477
adrenal gland,aggregated,139187,1.27%,LRRTM4,2.5164602831535534,0.23430167508305688,1773
adrenal gland,aggregated,139187,21.85%,QKI,2.3908787643423084,0.20756664070901157,30417
adrenal gland,aggregated,139187,6.67%,PCDH9,2.6211213062062466,0.2565829476414992,9285
adrenal gland,aggregated,139187,0.19%,CDH19,2.545952102373231,0.24058018491519478,265
adrenal gland,aggregated,139187,4.13%,SOX5,2.3753083166724616,0.2042518499849217,5752
adrenal gland,aggregated,139187,2.26%,NLGN4X,2.5630892247538903,0.24422850482927216,3149
adrenal gland,aggregated,139187,0.38%,MPZ,2.3127298875941618,0.190929535775641,531
adrenal gland,aggregated,139187,3.00%,IL1RAPL1,2.3572506261214117,0.20040755042422104,4180
adrenal gland,aggregated,139187,2.31%,SORCS1,2.8016286952979517,0.29501114390650396,3222
adrenal gland,aggregated,139187,1.75%,NLGN1,2.5646653688629826,0.2445640499583159,2434
adrenal gland,aggregated,139187,12.83%,ZNF536,2.4138097568063412,0.21244841692544952,17851
adrenal gland,aggregated,139187,23.72%,TIMP3,2.7521267453130207,0.2844726797522474,33017
adrenal gland,aggregated,139187,8.70%,PARD3B,2.341368242545635,0.19702635170278826,12107
adrenal gland,aggregated,139187,13.47%,VCAN,2.7505806024594537,0.28414352158686934,18744
adrenal gland,aggregated,139187,9.95%,NAALADL2,2.3764868186989814,0.20450274113902733,13843
adrenal gland,aggregated,139187,10.14%,RBFOX1,3.1536290501062325,0.3699484569327967,14120
adrenal gland,aggregated,139187,6.06%,RGS5_ENSG00000143248,3.2245014470680657,0.38503647296319315,8433
adrenal gland,aggregated,139187,5.71%,STMN2,3.1218442336122294,0.3631817911878384,7948
adrenal gland,aggregated,139187,5.43%,CACNA2D3,3.1531768144360606,0.36985218053558744,7554
adrenal gland,aggregated,139187,5.05%,CNTN1,3.1756832327800684,0.37464356921888636,7034
adrenal gland,aggregated,139187,4.74%,KCNQ5,3.2121219204476597,0.3824009970359715,6601
adrenal gland,aggregated,139187,14.54%,CNTNAP2,2.8404556513362644,0.30327700988861606,20243
adrenal gland,aggregated,139187,5.14%,DPP6,3.110884034567039,0.36084847573670126,7160
adrenal gland,aggregated,139187,7.39%,MAP1B,2.714439916925768,0.2764495354080835,10292
adrenal gland,aggregated,139187,8.01%,CADM2,2.827324369448681,0.30048149287334974,11146
adrenal gland,aggregated,139187,6.39%,SYT1,2.7522927034131803,0.2845080105521487,8892
adrenal gland,aggregated,139187,59.64%,DLC1,3.5121544719120075,0.4462748906841952,83007
adrenal gland,aggregated,139187,44.51%,CADM1,2.8283348534254538,0.3006966146851352,61948
adrenal gland,aggregated,139187,18.11%,ALCAM,2.673912275351107,0.2678216106875192,25206
adrenal gland,aggregated,139187,29.33%,RBMS3,2.6704794254182898,0.2670907916798852,40821
adrenal gland,aggregated,139187,4.07%,LINGO2,3.0291712898560323,0.34345265938310304,5661
adrenal gland,aggregated,139187,22.03%,UNC5C,2.6953114808231686,0.2723772849562206,30662
adrenal gland,aggregated,139187,9.80%,CHGB,2.778804049102235,0.2901520077342851,13645
adrenal gland,aggregated,139187,8.85%,BMPR1B,2.5597695268089167,0.2435217747346655,12314
adrenal gland,aggregated,139187,48.58%,TENM3,2.940898818766637,0.32466034367298613,67620
adrenal gland,aggregated,139187,7.91%,EML5,2.5855867708806173,0.24901800470730562,11015
adrenal gland,aggregated,139187,4.49%,SEMA6D,2.8021080247839656,0.2951131883028959,6249
adrenal gland,aggregated,139187,3.64%,PLXNA4,2.8435324937734268,0.3039320385034929,5069
adrenal gland,aggregated,139187,39.90%,SORBS2,2.809529195930128,0.29669308053199483,55530
adrenal gland,aggregated,139187,4.66%,CTNNA2,2.7257749932619744,0.2788626584404335,6493
adrenal gland,aggregated,139187,5.78%,FAM155A,2.9111273500621504,0.31832229929579875,8045
adrenal gland,aggregated,139187,5.18%,CHGA,2.7836946578454493,0.2911931688390203,7208
adrenal gland,aggregated,139187,3.82%,CCSER1,2.7680233036890645,0.2878568961451972,5313
adrenal gland,aggregated,139187,3.91%,FGF14,3.0403897062201395,0.34584094668808113,5442
adrenal gland,aggregated,139187,2.88%,AGBL4,2.734559583723471,0.2807328088429224,4005
adrenal gland,aggregated,139187,35.03%,ROBO1,2.723139653545568,0.27830162128646097,48751
adrenal gland,aggregated,139187,68.13%,MEG3,3.667056496683644,0.47925196403129744,94833
adrenal gland,aggregated,139187,5.19%,ROBO2,2.6299238967789926,0.2584569300854983,7226
adrenal gland,aggregated,139187,53.30%,LSAMP,3.3341224151759836,0.4083736676254613,74183
adrenal gland,aggregated,139187,0.71%,SLC24A2,2.7603282638007616,0.28621870003265737,985
adrenal gland,aggregated,139187,3.65%,DGKB,2.9577690502679976,0.32825184522000034,5084
adrenal gland,aggregated,139187,53.09%,RALYL,3.3055268909610103,0.402285969928635,73891
adrenal gland,aggregated,139187,2.48%,MGAT4C,2.670894760896322,0.2671792123996461,3453
adrenal gland,aggregated,139187,51.62%,CACNB2,3.2980381427298795,0.4006916912220781,71842
adrenal gland,aggregated,139187,52.11%,MAGI2,3.1618164318310287,0.3716914676394506,72533
adrenal gland,mesenchymal stem cell,413,0.01%,AIF1,2.494280162610506,0.22957975189919944,19
adrenal gland,mesenchymal stem cell,413,0.09%,CST3,2.517592515402693,0.23454271586984374,123
adrenal gland,mesenchymal stem cell,413,0.00%,HLA-DRA,2.396594524383545,0.20878346817393445,4
adrenal gland,mesenchymal stem cell,413,0.01%,HLA-DPA1,2.060370309012277,0.13720473556720342,7
adrenal gland,mesenchymal stem cell,413,0.00%,LYZ,2.3321167627970376,0.19505680529635172,6
adrenal gland,mesenchymal stem cell,413,0.00%,HLA-DQB1,2.509788990020752,0.2328814242936644,2
adrenal gland,mesenchymal stem cell,413,0.00%,LST1,2.204240004221598,0.16783313760608853,3
adrenal gland,mesenchymal stem cell,413,0.08%,SAT1,2.580259323120117,0.24788384499693472,112
adrenal gland,mesenchymal stem cell,413,0.01%,HLA-DPB1,2.302997589111328,0.18885762792693828,10
adrenal gland,mesenchymal stem cell,413,0.11%,PSAP,2.5057888278713474,0.23202983025675178,154
adrenal gland,mesenchymal stem cell,413,0.02%,CD74,2.4046873009723164,0.2105063384046049,23
adrenal gland,mesenchymal stem cell,413,0.00%,TYROBP,2.2993188858032227,0.1880744692239293,5
adrenal gland,mesenchymal stem cell,413,0.01%,HLA-DRB1,2.3427185482449002,0.19731381812003707,9
adrenal gland,mesenchymal stem cell,413,0.00%,CPVL,2.4280773798624673,0.2154858494748582,3
adrenal gland,mesenchymal stem cell,413,,HLA-DQA1,,,
adrenal gland,mesenchymal stem cell,413,0.00%,CTSS,2.3596954345703125,0.2009280253996636,1
adrenal gland,mesenchymal stem cell,413,0.00%,MS4A6A,2.2043673992156982,0.16786025871099783,1
adrenal gland,mesenchymal stem cell,413,0.00%,CALHM6,2.435096263885498,0.21698009884689526,2
adrenal gland,mesenchymal stem cell,413,0.01%,FGL2,2.3389979468451605,0.1965217397373598,18
adrenal gland,mesenchymal stem cell,413,0.00%,CSTA,2.473977565765381,0.22525753450865618,1
adrenal gland,mesenchymal stem cell,413,0.00%,GPR183,2.4079556465148926,0.21120213609246666,1
